title|raw_text|meal_type|cultural_restriction|calories|allergies
 Vegan Eggplant Parmesan|"93. Vegan Eggplant Parmesan: 350 calories per portion, 4 portions, gluten (wheat), Italy
"|dinner|vegan|350.0|
 Moroccan Quinoa Salad|"94. Moroccan Quinoa Salad: 250 calories per portion, 4 portions, none, Morocco
"|dinner|vegan|250.0|
 Vegan Soba Noodle Stir-Fry|"95. Vegan Soba Noodle Stir-Fry: 300 calories per portion, 4 portions, soy, Japan
"|dinner|vegan|300.0|
 Lentil and Vegetable Curry with Coconut Milk|"96. Lentil and Vegetable Curry with Coconut Milk: 350 calories per portion, 4 portions, none, India
"|dinner|vegan|350.0|
 Ratatouille-Stuffed Tomatoes|"97. Ratatouille-Stuffed Tomatoes: 250 calories per portion, 4 portions, none, France
"|dinner|vegan|250.0|
 Vegan Tikka Masala|"98. Vegan Tikka Masala: 280 calories per portion, 4 portions, none, India
"|dinner|vegan|280.0|
 Mediterranean Vegan Wrap|"99. Mediterranean Vegan Wrap: 320 calories per portion, 4 portions, gluten (wheat), Global
"|dinner|vegan|320.0|
 Vegan Lentil Tacos|"100. Vegan Lentil Tacos: 300 calories per portion, 4 portions, none, Mexico

Please note that these calorie values are approximate and may vary depending on the specific ingredients and portion sizes used. Additionally, always ensure to check for potential allergens in the specific brands of ingredients you use to accommodate individual dietary needs and allergies."|dinner|vegan|300.0|
 Lentil Curry|"1. Lentil Curry: 200 calories per portion, 4 portions, contains mustard, origin: India
"|dinner|vegan|200.0|contains mustard
 Veggie Stir-Fry|"2. Veggie Stir-Fry: 150 calories per portion, 4 portions, contains soy, origin: China
"|dinner|vegan|150.0|contains soy
 Chickpea Salad|"3. Chickpea Salad: 250 calories per portion, 2 portions, contains sesame seeds, origin: Mediterranean
"|dinner|vegan|250.0|contains sesame seeds
 Mexican Quinoa Bowl|"4. Mexican Quinoa Bowl: 300 calories per portion, 2 portions, contains cilantro, origin: Mexico
"|dinner|vegan|300.0|contains cilantro
 Spaghetti Aglio e Olio|"5. Spaghetti Aglio e Olio: 400 calories per portion, 2 portions, contains wheat, origin: Italy
"|dinner|vegan|400.0|contains wheat
 Vegan Chili|"6. Vegan Chili: 350 calories per portion, 4 portions, contains soy, origin: United States
"|dinner|vegan|350.0|contains soy
 Falafel Wrap|"7. Falafel Wrap: 400 calories per portion, 2 portions, contains wheat and sesame seeds, origin: Middle East
"|dinner|vegan|400.0|contains wheat and sesame seeds
 Vegetable Curry|"8. Vegetable Curry: 300 calories per portion, 4 portions, contains mustard, origin: India
"|dinner|vegan|300.0|contains mustard
 Sushi Roll|"9. Sushi Roll: 250 calories per portion, 4 portions, contains soy and seaweed, origin: Japan
"|dinner|vegan|250.0|contains soy and seaweed
 Ratatouille|"10. Ratatouille: 200 calories per portion, 4 portions, contains garlic, origin: France

"|dinner|vegan|200.0|contains garlic
 Vegan Tacos|"11. Vegan Tacos: 350 calories per portion, 2 portions, contains wheat, origin: Mexico
"|dinner|vegan|350.0|contains wheat
 Quinoa Salad|"12. Quinoa Salad: 300 calories per portion, 2 portions, contains mustard, origin: South America
"|dinner|vegan|300.0|contains mustard
 Thai Red Curry|"13. Thai Red Curry: 400 calories per portion, 4 portions, contains peanuts, origin: Thailand
"|dinner|vegan|400.0|contains peanuts
 Mushroom Risotto|"14. Mushroom Risotto: 450 calories per portion, 2 portions, contains wheat, origin: Italy
"|dinner|vegan|450.0|contains wheat
 Vegan Shepherd's Pie|"15. Vegan Shepherd's Pie: 400 calories per portion, 4 portions, contains soy, origin: United Kingdom
"|dinner|vegan|400.0|contains soy
 Stuffed Bell Peppers|"16. Stuffed Bell Peppers: 300 calories per portion, 2 portions, contains nuts, origin: Mediterranean
"|dinner|vegan|300.0|contains nuts
 Veggie Burger|"17. Veggie Burger: 350 calories per portion, 4 portions, contains soy and wheat, origin: United States
"|dinner|vegan|350.0|contains soy and wheat
 Tofu Stir-Fry|"18. Tofu Stir-Fry: 250 calories per portion, 2 portions, contains soy, origin: China
"|dinner|vegan|250.0|contains soy
 Greek Salad|"19. Greek Salad: 200 calories per portion, 4 portions, contains olives, origin: Greece
"|dinner|vegan|200.0|contains olives
 Sweet Potato Curry|"20. Sweet Potato Curry: 300 calories per portion, 4 portions, contains mustard, origin: India

"|dinner|vegan|300.0|contains mustard
 Lentil Soup|"21. Lentil Soup: 200 calories per portion, 4 portions, contains celery, origin: Multiple
"|dinner|vegan|200.0|contains celery
 Buddha Bowl|"22. Buddha Bowl: 350 calories per portion, 2 portions, contains nuts and soy, origin: Multiple
"|dinner|vegan|350.0|contains nuts and soy
 Vegan Pad Thai|"23. Vegan Pad Thai: 400 calories per portion, 4 portions, contains peanuts and soy, origin: Thailand
"|dinner|vegan|400.0|contains peanuts and soy
 Caprese Salad|"24. Caprese Salad: 250 calories per portion, 2 portions, contains nuts, origin: Italy
"|dinner|vegan|250.0|contains nuts
 Veggie Fajitas|"25. Veggie Fajitas: 300 calories per portion, 4 portions, contains wheat, origin: Mexico
"|dinner|vegan|300.0|contains wheat
 Ratatouille Stuffed Portobello Mushrooms|"26. Ratatouille Stuffed Portobello Mushrooms: 300 calories per portion, 2 portions, contains garlic, origin: France
"|dinner|vegan|300.0|contains garlic
 Lentil Bolognese|"27. Lentil Bolognese: 400 calories per portion, 4 portions, contains wheat, origin: Italy
"|dinner|vegan|400.0|contains wheat
 Vegan Caesar Salad|"28. Vegan Caesar Salad: 250 calories per portion, 2 portions, contains nuts and mustard, origin: Mexico
"|dinner|vegan|250.0|contains nuts and mustard
 Jamaican Rice and Peas|"29. Jamaican Rice and Peas: 350 calories per portion, 4 portions, contains coconut, origin: Jamaica
"|dinner|vegan|350.0|contains coconut
 Quinoa Stuffed Bell Peppers|"30. Quinoa Stuffed Bell Peppers: 300 calories per portion, 2 portions, contains nuts, origin: Multiple

"|dinner|vegan|300.0|contains nuts
 Vegan Sushi Bowl|"31. Vegan Sushi Bowl: 250 calories per portion, 4 portions, contains soy and seaweed, origin: Japan
"|dinner|vegan|250.0|contains soy and seaweed
 Couscous Salad|"32. Couscous Salad: 300 calories per portion, 2 portions, contains nuts and wheat, origin: Africa
"|dinner|vegan|300.0|contains nuts and wheat
 Vegan Curry Laksa|"33. Vegan Curry Laksa: 400 calories per portion, 4 portions, contains peanuts, origin: Malaysia
"|dinner|vegan|400.0|contains peanuts
 Tomato Basil Pasta|"34. Tomato Basil Pasta: 450 calories per portion, 2 portions, contains wheat, origin: Italy
"|dinner|vegan|450.0|contains wheat
 Vegan Sloppy Joes|"35. Vegan Sloppy Joes: 400 calories per portion, 4 portions, contains mustard and soy, origin: United States
"|dinner|vegan|400.0|contains mustard and soy
 Stuffed Zucchini|"36. Stuffed Zucchini: 350 calories per portion, 2 portions, contains nuts, origin: Mediterranean
"|dinner|vegan|350.0|contains nuts
 Jackfruit Tacos|"37. Jackfruit Tacos: 300 calories per portion, 4 portions, contains wheat, origin: Mexico
"|dinner|vegan|300.0|contains wheat
 Vegan Kung Pao Tofu|"38. Vegan Kung Pao Tofu: 250 calories per portion, 2 portions, contains peanuts and soy, origin: China
"|dinner|vegan|250.0|contains peanuts and soy
 Mediterranean Quinoa Bowl|"39. Mediterranean Quinoa Bowl: 200 calories per portion, 4 portions, contains nuts, origin: Mediterranean
"|dinner|vegan|200.0|contains nuts
 Chickpea Tikka Masala|"40. Chickpea Tikka Masala: 300 calories per portion, 4 portions, contains mustard, origin: India

"|dinner|vegan|300.0|contains mustard
 Lentil Loaf|"41. Lentil Loaf: 350 calories per portion, 2 portions, contains soy, origin: United States
"|dinner|vegan|350.0|contains soy
 Vegan Paella|"42. Vegan Paella: 400 calories per portion, 4 portions, contains wheat, origin: Spain
"|dinner|vegan|400.0|contains wheat
 Roasted Vegetable Salad|"43. Roasted Vegetable Salad: 250 calories per portion, 2 portions, contains nuts, origin: Multiple
"|dinner|vegan|250.0|contains nuts
 Vegan Gyros|"44. Vegan Gyros: 300 calories per portion, 4 portions, contains wheat, origin: Greece
"|dinner|vegan|300.0|contains wheat
 Sweet Potato and Black Bean Enchiladas|"45. Sweet Potato and Black Bean Enchiladas: 400 calories per portion, 2 portions, contains wheat, origin: Mexico
"|dinner|vegan|400.0|contains wheat
 Vegan Tikka Masala|"46. Vegan Tikka Masala: 300 calories per portion, 4 portions, contains mustard, origin: India
"|dinner|vegan|300.0|contains mustard
 Soba Noodle Stir-Fry|"47. Soba Noodle Stir-Fry: 350 calories per portion, 2 portions, contains wheat and soy, origin: Japan
"|dinner|vegan|350.0|contains wheat and soy
 Cauliflower Buffalo Wings|"48. Cauliflower Buffalo Wings: 250 calories per portion, 4 portions, contains wheat, origin: United States
"|dinner|vegan|250.0|contains wheat
 Greek Stuffed Peppers|"49. Greek Stuffed Peppers: 200 calories per portion, 2 portions, contains nuts, origin: Greece
"|dinner|vegan|200.0|contains nuts
 Vegan Pho|"50. Vegan Pho: 300 calories per portion, 4 portions, contains soy, origin: Vietnam

"|dinner|vegan|300.0|contains soy
 Zucchini Noodles with Pesto|"51. Zucchini Noodles with Pesto: 250 calories per portion, 2 portions, contains nuts, origin: Italy
"|dinner|vegan|250.0|contains nuts
 Quinoa Chili|"52. Quinoa Chili: 350 calories per portion, 4 portions, contains soy, origin: United States
"|dinner|vegan|350.0|contains soy
 Vegan Ramen|"53. Vegan Ramen: 400 calories per portion, 2 portions, contains wheat and soy, origin: Japan
"|dinner|vegan|400.0|contains wheat and soy
 Ratatouille Tart|"54. Ratatouille Tart: 450 calories per portion, 4 portions, contains wheat, origin: France
"|dinner|vegan|450.0|contains wheat
 Stuffed Mushrooms|"55. Stuffed Mushrooms: 400 calories per portion, 2 portions, contains nuts, origin: Multiple
"|dinner|vegan|400.0|contains nuts
 Vegan BBQ Sandwich|"56. Vegan BBQ Sandwich: 350 calories per portion, 4 portions, contains wheat, origin: United States
"|dinner|vegan|350.0|contains wheat
 Teriyaki Tofu Bowl|"57. Teriyaki Tofu Bowl: 300 calories per portion, 2 portions, contains soy, origin: Japan
"|dinner|vegan|300.0|contains soy
 Chickpea Buddha Bowl|"58. Chickpea Buddha Bowl: 250 calories per portion, 4 portions, contains nuts and soy, origin: Multiple
"|dinner|vegan|250.0|contains nuts and soy
 Vegan Goulash|"59. Vegan Goulash: 200 calories per portion, 2 portions, contains wheat, origin: Hungary
"|dinner|vegan|200.0|contains wheat
 Lentil and Vegetable Stir-Fry|"60. Lentil and Vegetable Stir-Fry: 300 calories per portion, 4 portions, contains soy, origin: Multiple

"|dinner|vegan|300.0|contains soy
 Vegan Tofu Scramble|"61. Vegan Tofu Scramble: 250 calories per portion, 2 portions, contains soy, origin: United States
"|dinner|vegan|250.0|contains soy
 Quinoa Stuffed Mushrooms|"62. Quinoa Stuffed Mushrooms: 300 calories per portion, 4 portions, contains nuts, origin: Multiple
"|dinner|vegan|300.0|contains nuts
 Vegan Jambalaya|"63. Vegan Jambalaya: 400 calories per portion, 2 portions, contains wheat, origin: United States
"|dinner|vegan|400.0|contains wheat
 Roasted Brussels Sprouts and Quinoa Salad|"64. Roasted Brussels Sprouts and Quinoa Salad: 450 calories per portion, 2 portions, contains nuts, origin: Multiple
"|dinner|vegan|450.0|contains nuts
 Lentil Biryani|"65. Lentil Biryani: 400 calories per portion, 4 portions, contains mustard, origin: India
"|dinner|vegan|400.0|contains mustard
 Vegan Ravioli|"66. Vegan Ravioli: 350 calories per portion, 2 portions, contains wheat, origin: Italy
"|dinner|vegan|350.0|contains wheat
 Veggie Korma|"67. Veggie Korma: 300 calories per portion, 4 portions, contains mustard and nuts, origin: India
"|dinner|vegan|300.0|contains mustard and nuts
 Tofu Tikka Masala|"68. Tofu Tikka Masala: 250 calories per portion, 2 portions, contains mustard and soy, origin: India
"|dinner|vegan|250.0|contains mustard and soy
 Mexican Rice Bowl|"69. Mexican Rice Bowl: 200 calories per portion, 4 portions, contains wheat, origin: Mexico
"|dinner|vegan|200.0|contains wheat
 Sweet Potato and Lentil Curry|"70. Sweet Potato and Lentil Curry: 300 calories per portion, 4 portions, contains mustard, origin: India

"|dinner|vegan|300.0|contains mustard
 Vegan Soba Noodle Salad|"71. Vegan Soba Noodle Salad: 250 calories per portion, 2 portions, contains soy, origin: Japan
"|dinner|vegan|250.0|contains soy
 Mushroom Tacos|"72. Mushroom Tacos: 350 calories per portion, 4 portions, contains wheat, origin: Multiple
"|dinner|vegan|350.0|contains wheat
 Vegan Pastrami Reuben Sandwich|"73. Vegan Pastrami Reuben Sandwich: 400 calories per portion, 2 portions, contains wheat, origin: United States
"|dinner|vegan|400.0|contains wheat
 Summer Rolls|"74. Summer Rolls: 450 calories per portion, 4 portions, contains soy, origin: Vietnam
"|dinner|vegan|450.0|contains soy
 Vegan Carbonara|"75. Vegan Carbonara: 400 calories per portion, 2 portions, contains wheat, origin: Italy
"|dinner|vegan|400.0|contains wheat
 Quinoa Stuffed Acorn Squash|"76. Quinoa Stuffed Acorn Squash: 350 calories per portion, 2 portions, contains nuts, origin: Multiple
"|dinner|vegan|350.0|contains nuts
 Vegan General Tso's Tofu|"77. Vegan General Tso's Tofu: 300 calories per portion, 4 portions, contains soy, origin: China
"|dinner|vegan|300.0|contains soy
 Moroccan Chickpea Stew|"78. Moroccan Chickpea Stew: 250 calories per portion, 2 portions, contains nuts, origin: Morocco
"|dinner|vegan|250.0|contains nuts
 Vegan Bibimbap|"79. Vegan Bibimbap: 200 calories per portion, 4 portions, contains soy, origin: Korea
"|dinner|vegan|200.0|contains soy
 Lentil and Vegetable Curry|"80. Lentil and Vegetable Curry: 300 calories per portion, 4 portions, contains mustard, origin: India

"|dinner|vegan|300.0|contains mustard
 Vegan Fettuccine Alfredo|"81. Vegan Fettuccine Alfredo: 250 calories per portion, 2 portions, contains wheat, origin: Italy
"|dinner|vegan|250.0|contains wheat
 Quinoa Stuffed Bell Peppers with Cashew Cream|"82. Quinoa Stuffed Bell Peppers with Cashew Cream: 300 calories per portion, 2 portions, contains nuts, origin: Multiple
"|dinner|vegan|300.0|contains nuts
 Vegan Tamales|"83. Vegan Tamales: 400 calories per portion, 4 portions, contains wheat, origin: Mexico
"|dinner|vegan|400.0|contains wheat
 Roasted Vegetable Wrap|"84. Roasted Vegetable Wrap: 450 calories per portion, 2 portions, contains nuts, origin: Multiple
"|dinner|vegan|450.0|contains nuts
 Vegan Sausage and Peppers|"85. Vegan Sausage and Peppers: 400 calories per portion, 4 portions, contains wheat, origin: Multiple
"|dinner|vegan|400.0|contains wheat
 Thai Coconut Curry|"86. Thai Coconut Curry: 350 calories per portion, 2 portions, contains peanuts, origin: Thailand
"|dinner|vegan|350.0|contains peanuts
 Vegan Bao Buns|"87. Vegan Bao Buns: 300 calories per portion, 4 portions, contains wheat and soy, origin: China
"|dinner|vegan|300.0|contains wheat and soy
 Lentil Salad|"88. Lentil Salad: 250 calories per portion, 2 portions, contains mustard, origin: Multiple
"|dinner|vegan|250.0|contains mustard
 Mediterranean Stuffed Eggplant|"89. Mediterranean Stuffed Eggplant: 200 calories per portion, 4 portions, contains nuts, origin: Mediterranean
"|dinner|vegan|200.0|contains nuts
 Quinoa Fried Rice|"90. Quinoa Fried Rice: 300 calories per portion, 4 portions, contains soy, origin: China

"|dinner|vegan|300.0|contains soy
 Vegan Nachos|"91. Vegan Nachos: 250 calories per portion, 2 portions, contains wheat, origin: Mexico
"|dinner|vegan|250.0|contains wheat
 Mushroom Risotto Stuffed Peppers|"92. Mushroom Risotto Stuffed Peppers: 350 calories per portion, 4 portions, contains wheat, origin: Italy
"|dinner|vegan|350.0|contains wheat
 Vegan Meatballs with Marinara Sauce|"93. Vegan Meatballs with Marinara Sauce: 400 calories per portion, 2 portions, contains wheat, origin: Multiple
"|dinner|vegan|400.0|contains wheat
 Chickpea Tacos|"94. Chickpea Tacos: 450 calories per portion, 4 portions, contains wheat, origin: Multiple
"|dinner|vegan|450.0|contains wheat
 Vegan Lasagna|"95. Vegan Lasagna: 400 calories per portion, 2 portions, contains wheat, origin: Italy
"|dinner|vegan|400.0|contains wheat
 Quinoa Stuffed Tomatoes|"96. Quinoa Stuffed Tomatoes: 350 calories per portion, 2 portions, contains nuts, origin: Multiple
"|dinner|vegan|350.0|contains nuts
 Vegan Moroccan Tagine|"97. Vegan Moroccan Tagine: 300 calories per portion, 4 portions, contains nuts, origin: Morocco
"|dinner|vegan|300.0|contains nuts
 Thai Peanut Noodles|"98. Thai Peanut Noodles: 250 calories per portion, 2 portions, contains peanuts, origin: Thailand
"|dinner|vegan|250.0|contains peanuts
 Lentil and Vegetable Bolognese|"99. Lentil and Vegetable Bolognese: 200 calories per portion, 4 portions, contains wheat, origin: Multiple
"|dinner|vegan|200.0|contains wheat
 Vegan Spaghetti Carbonara|"100. Vegan Spaghetti Carbonara: 300 calories per portion, 4 portions, contains wheat, origin: Italy

Note: Please make sure to check ingredient labels and adjust portion sizes as needed to match specific dietary requirements."|dinner|vegan|300.0|contains wheat
 Spaghetti Aglio e Olio|"1. Spaghetti Aglio e Olio: 200kcals per portion, serves 4, contains gluten (Italy)
"|dinner|vegan|200.0|contains gluten (Italy)
 Chickpea Curry|"2. Chickpea Curry: 300kcals per portion, serves 6, contains nuts
"|dinner|vegan|300.0|contains nuts
 Lentil Soup|"3. Lentil Soup: 150kcals per portion, serves 8, gluten-free
"|dinner|vegan|150.0|
 Vegan Pizza|"4. Vegan Pizza: 250kcals per portion, serves 6, contains gluten (Italy)
"|dinner|vegan|250.0|contains gluten (Italy)
 Tofu Stir-Fry|"5. Tofu Stir-Fry: 180kcals per portion, serves 4, soy allergy warning (China)
"|dinner|vegan|180.0|
 Mexican Quinoa Bowl|"6. Mexican Quinoa Bowl: 350kcals per portion, serves 4, gluten-free (Mexico)
"|dinner|vegan|350.0|
 Vegan Chili|"7. Vegan Chili: 200kcals per portion, serves 6, gluten-free
"|dinner|vegan|200.0|
 Falafel Wrap|"8. Falafel Wrap: 350kcals per portion, serves 2, contains gluten (Middle East)
"|dinner|vegan|350.0|contains gluten (Middle East)
 Cucumber Avocado Sushi Rolls|"9. Cucumber Avocado Sushi Rolls: 250kcals per portion, serves 4, contains soy (Japan)
"|dinner|vegan|250.0|contains soy (Japan)
 Lentil Bolognese|"10. Lentil Bolognese: 400kcals per portion, serves 4, gluten-free (Italy)
"|dinner|vegan|400.0|
 Sweet Potato Black Bean Burrito|"11. Sweet Potato Black Bean Burrito: 300kcals per portion, serves 4, gluten-free (Mexico)
"|dinner|vegan|300.0|
 Vegetable Curry|"12. Vegetable Curry: 250kcals per portion, serves 6, gluten-free
"|dinner|vegan|250.0|
 Vegan Shepherd's Pie|"13. Vegan Shepherd's Pie: 350kcals per portion, serves 4, gluten-free (United Kingdom)
"|dinner|vegan|350.0|
 Chickpea Salad|"14. Chickpea Salad: 150kcals per portion, serves 4, gluten-free
"|dinner|vegan|150.0|
 Thai Green Curry|"15. Thai Green Curry: 400kcals per portion, serves 4, contains nuts (Thailand)
"|dinner|vegan|400.0|contains nuts (Thailand)
 Quinoa Stuffed Bell Peppers|"16. Quinoa Stuffed Bell Peppers: 300kcals per portion, serves 6, gluten-free
"|dinner|vegan|300.0|
 Vegan Pad Thai|"17. Vegan Pad Thai: 450kcals per portion, serves 4, contains nuts (Thailand)
"|dinner|vegan|450.0|contains nuts (Thailand)
 Ratatouille|"18. Ratatouille: 200kcals per portion, serves 4, gluten-free (France)
"|dinner|vegan|200.0|
 Vegan Mac and Cheese|"19. Vegan Mac and Cheese: 350kcals per portion, serves 4, contains gluten
"|dinner|vegan|350.0|contains gluten
 Butternut Squash Soup|"20. Butternut Squash Soup: 150kcals per portion, serves 6, gluten-free
"|dinner|vegan|150.0|
 Vegan Sushi Bowl|"21. Vegan Sushi Bowl: 250kcals per portion, serves 4, contains soy (Japan)
"|dinner|vegan|250.0|contains soy (Japan)
 Cauliflower Tikka Masala|"22. Cauliflower Tikka Masala: 300kcals per portion, serves 4, gluten-free (India)
"|dinner|vegan|300.0|
 Vegan Lasagna|"23. Vegan Lasagna: 400kcals per portion, serves 6, contains gluten (Italy)
"|dinner|vegan|400.0|contains gluten (Italy)
 Chickpea Salad Sandwich|"24. Chickpea Salad Sandwich: 350kcals per portion, serves 2, gluten-free, contains soy
"|dinner|vegan|350.0|contains soy
 Vegan Bibimbap|"25. Vegan Bibimbap: 450kcals per portion, serves 4, contains gluten, soy (Korea)
"|dinner|vegan|450.0|contains gluten
 Black Bean Tacos|"26. Black Bean Tacos: 250kcals per portion, serves 4, gluten-free (Mexico)
"|dinner|vegan|250.0|
 Vegan BBQ Pulled Jackfruit Sandwich|"27. Vegan BBQ Pulled Jackfruit Sandwich: 350kcals per portion, serves 4, gluten-free
"|dinner|vegan|350.0|
 Quinoa Stuffed Zucchini Boats|"28. Quinoa Stuffed Zucchini Boats: 300kcals per portion, serves 6, gluten-free
"|dinner|vegan|300.0|
 Vegan Goulash|"29. Vegan Goulash: 400kcals per portion, serves 4, gluten-free (Hungary)
"|dinner|vegan|400.0|
 Mediterranean Couscous Salad|"30. Mediterranean Couscous Salad: 250kcals per portion, serves 6, contains gluten, nuts
"|dinner|vegan|250.0|contains gluten
 Vegan Paella|"31. Vegan Paella: 350kcals per portion, serves 4, gluten-free (Spain)
"|dinner|vegan|350.0|
 Beetroot Burger|"32. Beetroot Burger: 300kcals per portion, serves 4, gluten-free
"|dinner|vegan|300.0|
 Vegan Kimchi Fried Rice|"33. Vegan Kimchi Fried Rice: 400kcals per portion, serves 4, contains gluten, soy (Korea)
"|dinner|vegan|400.0|contains gluten
 Vegan Quiche|"34. Vegan Quiche: 350kcals per portion, serves 6, contains gluten
"|dinner|vegan|350.0|contains gluten
 Lentil Biryani|"35. Lentil Biryani: 300kcals per portion, serves 4, gluten-free (India)
"|dinner|vegan|300.0|
 Vegan Enchiladas|"36. Vegan Enchiladas: 400kcals per portion, serves 4, contains gluten (Mexico)
"|dinner|vegan|400.0|contains gluten (Mexico)
 Portobello Mushroom Burger|"37. Portobello Mushroom Burger: 250kcals per portion, serves 4, contains gluten
"|dinner|vegan|250.0|contains gluten
 Vegan Tacos|"38. Vegan Tacos: 300kcals per portion, serves 4, gluten-free (Mexico)
"|dinner|vegan|300.0|
 Vegan Ratatouille Stuffed Portobello Mushroom|"39. Vegan Ratatouille Stuffed Portobello Mushroom: 200kcals per portion, serves 2, gluten-free, contains nuts (France)
"|dinner|vegan|200.0|contains nuts (France)
 Tofu and Vegetable Kebabs|"40. Tofu and Vegetable Kebabs: 250kcals per portion, serves 4, soy allergy warning (China)
"|dinner|vegan|250.0|
 Vegan Bibimbap Bowl|"41. Vegan Bibimbap Bowl: 450kcals per portion, serves 4, contains gluten, soy (Korea)
"|dinner|vegan|450.0|contains gluten
 Lentil Curry|"42. Lentil Curry: 300kcals per portion, serves 4, gluten-free
"|dinner|vegan|300.0|
 Vegan Nachos|"43. Vegan Nachos: 350kcals per portion, serves 4, contains gluten, soy
"|dinner|vegan|350.0|contains gluten
 Vegetable Biryani|"44. Vegetable Biryani: 300kcals per portion, serves 4, gluten-free (India)
"|dinner|vegan|300.0|
 Vegan Fajitas|"45. Vegan Fajitas: 400kcals per portion, serves 4, contains gluten (Mexico)
"|dinner|vegan|400.0|contains gluten (Mexico)
 Stuffed Mushrooms|"46. Stuffed Mushrooms: 200kcals per portion, serves 4, gluten-free
"|dinner|vegan|200.0|
 Vegan Tikka Masala|"47. Vegan Tikka Masala: 350kcals per portion, serves 4, gluten-free (India)
"|dinner|vegan|350.0|
 Lentil Loaf|"48. Lentil Loaf: 250kcals per portion, serves 6, gluten-free
"|dinner|vegan|250.0|
 Vegan Pho|"49. Vegan Pho: 400kcals per portion, serves 4, contains gluten, soy (Vietnam)
"|dinner|vegan|400.0|contains gluten
 Greek Salad|"50. Greek Salad: 150kcals per portion, serves 4, gluten-free
"|dinner|vegan|150.0|
 Vegan Gyros|"51. Vegan Gyros: 350kcals per portion, serves 4, contains gluten (Greece)
"|dinner|vegan|350.0|contains gluten (Greece)
 Lentil Meatballs in Marinara Sauce|"52. Lentil Meatballs in Marinara Sauce: 300kcals per portion, serves 4, gluten-free
"|dinner|vegan|300.0|
 Vegan Tikka Wrap|"53. Vegan Tikka Wrap: 350kcals per portion, serves 2, contains gluten (India)
"|dinner|vegan|350.0|contains gluten (India)
 Veggie Paella|"54. Veggie Paella: 450kcals per portion, serves 4, gluten-free (Spain)
"|dinner|vegan|450.0|
 Quinoa Salad|"55. Quinoa Salad: 250kcals per portion, serves 4, gluten-free
"|dinner|vegan|250.0|
 Vegan Ramen|"56. Vegan Ramen: 350kcals per portion, serves 4, contains gluten, soy (Japan)
"|dinner|vegan|350.0|contains gluten
 Jackfruit BBQ Sandwich|"57. Jackfruit BBQ Sandwich: 400kcals per portion, serves 4, gluten-free
"|dinner|vegan|400.0|
 Lentil Buddha Bowl|"58. Lentil Buddha Bowl: 250kcals per portion, serves 4, gluten-free
"|dinner|vegan|250.0|
 Vegan Moussaka|"59. Vegan Moussaka: 400kcals per portion, serves 6, contains gluten (Greece)
"|dinner|vegan|400.0|contains gluten (Greece)
 Butternut Squash Risotto|"60. Butternut Squash Risotto: 350kcals per portion, serves 4, gluten-free
"|dinner|vegan|350.0|
 Stuffed Bell Peppers|"61. Stuffed Bell Peppers: 250kcals per portion, serves 4, gluten-free
"|dinner|vegan|250.0|
 Vegan Mapo Tofu|"62. Vegan Mapo Tofu: 400kcals per portion, serves 4, contains gluten, soy (China)
"|dinner|vegan|400.0|contains gluten
 Quinoa Stuffed Mushrooms|"63. Quinoa Stuffed Mushrooms: 200kcals per portion, serves 4, gluten-free
"|dinner|vegan|200.0|
 Vegan Pad See Ew|"64. Vegan Pad See Ew: 350kcals per portion, serves 4, contains gluten, soy (Thailand)
"|dinner|vegan|350.0|contains gluten
 Sweet Potato Curry|"65. Sweet Potato Curry: 300kcals per portion, serves 4, gluten-free
"|dinner|vegan|300.0|
 Vegan Phyllo Pie|"66. Vegan Phyllo Pie: 400kcals per portion, serves 4, contains gluten
"|dinner|vegan|400.0|contains gluten
 Spicy Black Bean Soup|"67. Spicy Black Bean Soup: 200kcals per portion, serves 6, gluten-free
"|dinner|vegan|200.0|
 Vegan Tofu Satay Skewers|"68. Vegan Tofu Satay Skewers: 250kcals per portion, serves 4, soy allergy warning (Indonesia)
"|dinner|vegan|250.0|
 Chana Masala|"69. Chana Masala: 350kcals per portion, serves 4, gluten-free (India)
"|dinner|vegan|350.0|
 Vegan Quesadillas|"70. Vegan Quesadillas: 300kcals per portion, serves 4, contains gluten (Mexico)
"|dinner|vegan|300.0|contains gluten (Mexico)
 Vegetable Fried Rice|"71. Vegetable Fried Rice: 450kcals per portion, serves 4, contains gluten, soy (China)
"|dinner|vegan|450.0|contains gluten
 Buddha Bowl|"72. Buddha Bowl: 250kcals per portion, serves 4, gluten-free
"|dinner|vegan|250.0|
 Vegan Shakshuka|"73. Vegan Shakshuka: 350kcals per portion, serves 4, gluten-free (North Africa)
"|dinner|vegan|350.0|
 Lentil Spinach Soup|"74. Lentil Spinach Soup: 200kcals per portion, serves 6, gluten-free
"|dinner|vegan|200.0|
 Vegan Swedish Meatballs|"75. Vegan Swedish Meatballs: 250kcals per portion, serves 4, contains gluten (Sweden)
"|dinner|vegan|250.0|contains gluten (Sweden)
 Chickpea Flour Pancakes|"76. Chickpea Flour Pancakes: 250kcals per portion, serves 4, gluten-free
"|dinner|vegan|250.0|
 Vegan Sushi Burrito|"77. Vegan Sushi Burrito: 400kcals per portion, serves 4, contains soy (Japan)
"|dinner|vegan|400.0|contains soy (Japan)
 Mediterranean Stuffed Eggplant|"78. Mediterranean Stuffed Eggplant: 300kcals per portion, serves 4, gluten-free
"|dinner|vegan|300.0|
