|title|raw_text|meal_type|cultural_restriction
10|" Vegan Chili
Calories per portion"|"11. Vegan Chili
Calories per portion: 750
Total portions: 5
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
11|" Moroccan Vegetable Tagine
Calories per portion"|"12. Moroccan Vegetable Tagine
Calories per portion: 800
Total portions: 2
Allergic warnings: None
Origin country: Morocco

"|lunch|vegan
12|" Stuffed Bell Peppers with Quinoa and Black Beans
Calories per portion"|"13. Stuffed Bell Peppers with Quinoa and Black Beans
Calories per portion: 850
Total portions: 2
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
13|" Vegan Lasagna
Calories per portion"|"14. Vegan Lasagna
Calories per portion: 900
Total portions: 3
Allergic warnings: Contains gluten
Origin country: Italy

"|lunch|vegan
14|" Jackfruit ""Pulled Pork"" Sandwich
Calories per portion"|"15. Jackfruit ""Pulled Pork"" Sandwich
Calories per portion: 950
Total portions: 1
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
15|" Vegan Mushroom Risotto
Calories per portion"|"16. Vegan Mushroom Risotto
Calories per portion: 600
Total portions: 4
Allergic warnings: None
Origin country: Italy

"|lunch|vegan
16|" Quinoa and Black Bean Salad
Calories per portion"|"17. Quinoa and Black Bean Salad
Calories per portion: 400
Total portions: 3
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
17|" Ratatouille
Calories per portion"|"18. Ratatouille
Calories per portion: 300
Total portions: 2
Allergic warnings: None
Origin country: France

"|lunch|vegan
18|" Vegan Caesar Salad with Tofu
Calories per portion"|"19. Vegan Caesar Salad with Tofu
Calories per portion: 500
Total portions: 2
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
19|" Vegan Sushi Rolls
Calories per portion"|"20. Vegan Sushi Rolls
Calories per portion: 350
Total portions: 3
Allergic warnings: None
Origin country: Japan

"|lunch|vegan
20|" Vegan Lentil Loaf
Calories per portion"|"21. Vegan Lentil Loaf
Calories per portion: 700
Total portions: 5
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
21|" Indian Chana Masala
Calories per portion"|"22. Indian Chana Masala
Calories per portion: 450
Total portions: 2
Allergic warnings: None
Origin country: India

"|lunch|vegan
22|" Vegan BBQ Jackfruit Pizza
Calories per portion"|"23. Vegan BBQ Jackfruit Pizza
Calories per portion: 800
Total portions: 4
Allergic warnings: Contains gluten
Origin country: N/A

"|lunch|vegan
23|" Mediterranean Veggie Wrap
Calories per portion"|"24. Mediterranean Veggie Wrap
Calories per portion: 550
Total portions: 1
Allergic warnings: Contains gluten (wrap)
Origin country: Mediterranean region

"|lunch|vegan
24|" Vegan Biryani
Calories per portion"|"25. Vegan Biryani
Calories per portion: 650
Total portions: 3
Allergic warnings: None
Origin country: India

"|lunch|vegan
25|" Vegan Goulash
Calories per portion"|"26. Vegan Goulash
Calories per portion: 750
Total portions: 2
Allergic warnings: None
Origin country: Hungary

"|lunch|vegan
26|" Vegan Shepherd's Pie
Calories per portion"|"27. Vegan Shepherd's Pie
Calories per portion: 900
Total portions: 4
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
27|" Tofu and Vegetable Teriyaki Stir-Fry
Calories per portion"|"28. Tofu and Vegetable Teriyaki Stir-Fry
Calories per portion: 400
Total portions: 3
Allergic warnings: None
Origin country: Japan

"|lunch|vegan
28|" Vegan Falafel Wrap
Calories per portion"|"29. Vegan Falafel Wrap
Calories per portion: 550
Total portions: 1
Allergic warnings: Contains gluten (wrap)
Origin country: Middle East

"|lunch|vegan
29|" Vegan Mushroom Stroganoff
Calories per portion"|"30. Vegan Mushroom Stroganoff
Calories per portion: 600
Total portions: 2
Allergic warnings: None
Origin country: Russia

"|lunch|vegan
30|" Vegan Bibimbap
Calories per portion"|"31. Vegan Bibimbap
Calories per portion: 500
Total portions: 2
Allergic warnings: Contains soy
Origin country: Korea

"|lunch|vegan
31|" Vegan Tofu Scramble
Calories per portion"|"32. Vegan Tofu Scramble
Calories per portion: 300
Total portions: 2
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
32|" Vegan Lentil Salad
Calories per portion"|"33. Vegan Lentil Salad
Calories per portion: 400
Total portions: 3
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
33|" Vegan Spinach and Mushroom Quiche
Calories per portion"|"34. Vegan Spinach and Mushroom Quiche
Calories per portion: 550
Total portions: 4
Allergic warnings: Contains gluten
Origin country: N/A

"|lunch|vegan
34|" Vegan Nachos with Cashew Cheese Sauce
Calories per portion"|"35. Vegan Nachos with Cashew Cheese Sauce
Calories per portion: 800
Total portions: 2
Allergic warnings: Contains nuts
Origin country: N/A

"|lunch|vegan
35|" Vegan Falafel Bowl
Calories per portion"|"36. Vegan Falafel Bowl
Calories per portion: 600
Total portions: 1
Allergic warnings: None
Origin country: Middle East

"|lunch|vegan
36|" Vegan Chickpea ""Tuna"" Salad Sandwich
Calories per portion"|"37. Vegan Chickpea ""Tuna"" Salad Sandwich
Calories per portion: 450
Total portions: 2
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
37|" Vegan Red Lentil Curry
Calories per portion"|"38. Vegan Red Lentil Curry
Calories per portion: 700
Total portions: 4
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
38|" Vegan Pumpkin and Black Bean Chili
Calories per portion"|"39. Vegan Pumpkin and Black Bean Chili
Calories per portion: 550
Total portions: 3
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
39|" Vegan Japanese Curry
Calories per portion"|"40. Vegan Japanese Curry
Calories per portion: 800
Total portions: 2
Allergic warnings: None
Origin country: Japan

"|lunch|vegan
40|" Vegan Ratatouille Pasta
Calories per portion"|"41. Vegan Ratatouille Pasta
Calories per portion: 600
Total portions: 3
Allergic warnings: Contains gluten
Origin country: Italy

"|lunch|vegan
41|" Vegan Lentil and Vegetable Shepherd's Pie
Calories per portion"|"42. Vegan Lentil and Vegetable Shepherd's Pie
Calories per portion: 900
Total portions: 4
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
42|" Vegan Thai Green Curry
Calories per portion"|"43. Vegan Thai Green Curry
Calories per portion: 450
Total portions: 2
Allergic warnings: None
Origin country: Thailand

"|lunch|vegan
43|" Vegan Stuffed Bell Peppers with Rice and Beans
Calories per portion"|"44. Vegan Stuffed Bell Peppers with Rice and Beans
Calories per portion: 700
Total portions: 2
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
44|" Vegan Mushroom and Walnut Bolognese
Calories per portion"|"45. Vegan Mushroom and Walnut Bolognese
Calories per portion: 850
Total portions: 3
Allergic warnings: Contains nuts
Origin country: Italy

"|lunch|vegan
45|" Vegan Taco Salad
Calories per portion"|"46. Vegan Taco Salad
Calories per portion: 500
Total portions: 2
Allergic warnings: Contains gluten (tortilla chips)
Origin country: Mexico

"|lunch|vegan
46|" Vegan Soba Noodle Stir-Fry
Calories per portion"|"47. Vegan Soba Noodle Stir-Fry
Calories per portion: 400
Total portions: 3
Allergic warnings: Contains gluten (soba noodles)
Origin country: Japan

"|lunch|vegan
47|" Vegan Lentil and Sweet Potato Curry
Calories per portion"|"48. Vegan Lentil and Sweet Potato Curry
Calories per portion: 750
Total portions: 4
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
48|" Vegan Zucchini Pasta with Avocado Sauce
Calories per portion"|"49. Vegan Zucchini Pasta with Avocado Sauce
Calories per portion: 450
Total portions: 3
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
49|" Vegan Cauliflower Buffalo Wings
Calories per portion"|"50. Vegan Cauliflower Buffalo Wings
Calories per portion: 550
Total portions: 1
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
50|" Vegan Pad See Ew
Calories per portion"|"51. Vegan Pad See Ew
Calories per portion: 600
Total portions: 2
Allergic warnings: Contains soy, gluten (soy sauce, noodles)
Origin country: Thailand

"|lunch|vegan
51|" Vegan Chickpea and Vegetable Curry
Calories per portion"|"52. Vegan Chickpea and Vegetable Curry
Calories per portion: 650
Total portions: 3
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
52|" Vegan Quinoa Stuffed Peppers
Calories per portion"|"53. Vegan Quinoa Stuffed Peppers
Calories per portion: 700
Total portions: 2
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
53|" Vegan Cabbage Rolls
Calories per portion"|"54. Vegan Cabbage Rolls
Calories per portion: 800
Total portions: 4
Allergic warnings: Contains gluten
Origin country: N/A

"|lunch|vegan
54|" Vegan Cucumber and Avocado Sushi Rolls
Calories per portion"|"55. Vegan Cucumber and Avocado Sushi Rolls
Calories per portion: 350
Total portions: 3
Allergic warnings: None
Origin country: Japan

"|lunch|vegan
55|" Vegan Moroccan Lentil Soup
Calories per portion"|"56. Vegan Moroccan Lentil Soup
Calories per portion: 300
Total portions: 2
Allergic warnings: None
Origin country: Morocco

"|lunch|vegan
56|" Vegan Mexican Quinoa Salad
Calories per portion"|"57. Vegan Mexican Quinoa Salad
Calories per portion: 400
Total portions: 3
Allergic warnings: None
Origin country: Mexico

"|lunch|vegan
57|" Vegan Stuffed Portobello Mushrooms
Calories per portion"|"58. Vegan Stuffed Portobello Mushrooms
Calories per portion: 450
Total portions: 2
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
58|" Vegan Eggplant Parmesan
Calories per portion"|"59. Vegan Eggplant Parmesan
Calories per portion: 500
Total portions: 1
Allergic warnings: Contains gluten
Origin country: Italy

"|lunch|vegan
59|" Vegan Lentil and Vegetable Soup
Calories per portion"|"60. Vegan Lentil and Vegetable Soup
Calories per portion: 600
Total portions: 4
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
60|" Vegan Pesto Pasta
Calories per portion"|"61. Vegan Pesto Pasta
Calories per portion: 550
Total portions: 3
Allergic warnings: Contains nuts, gluten (pasta)
Origin country: Italy

"|lunch|vegan
61|" Vegan Tofu Benedict
Calories per portion"|"62. Vegan Tofu Benedict
Calories per portion: 700
Total portions: 2
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
62|" Vegan Mushroom and Chickpea Stew
Calories per portion"|"63. Vegan Mushroom and Chickpea Stew
Calories per portion: 750
Total portions: 2
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
63|" Vegan Sweet Potato and Black Bean Chili
Calories per portion"|"64. Vegan Sweet Potato and Black Bean Chili
Calories per portion: 800
Total portions: 5
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
64|" Vegan Coconut Curry Noodle Soup
Calories per portion"|"65. Vegan Coconut Curry Noodle Soup
Calories per portion: 600
Total portions: 3
Allergic warnings: Contains soy, gluten (soy sauce, noodles)
Origin country: Thailand

"|lunch|vegan
65|" Vegan Spaghetti Aglio e Olio
Calories per portion"|"66. Vegan Spaghetti Aglio e Olio
Calories per portion: 450
Total portions: 2
Allergic warnings: Contains gluten
Origin country: Italy

"|lunch|vegan
66|" Vegan Greek Salad
Calories per portion"|"67. Vegan Greek Salad
Calories per portion: 400
Total portions: 3
Allergic warnings: None
Origin country: Greece

"|lunch|vegan
67|" Vegan Black Bean and Corn Quesadilla
Calories per portion"|"68. Vegan Black Bean and Corn Quesadilla
Calories per portion: 550
Total portions: 1
Allergic warnings: Contains gluten (tortilla)
Origin country: Mexico

"|lunch|vegan
68|" Vegan Korean Bibimbap Bowl
Calories per portion"|"69. Vegan Korean Bibimbap Bowl
Calories per portion: 650
Total portions: 2
Allergic warnings: Contains soy
Origin country: Korea

"|lunch|vegan
69|" Vegan Lentil Meatballs with Spaghetti
Calories per portion"|"70. Vegan Lentil Meatballs with Spaghetti
Calories per portion: 700
Total portions: 4
Allergic warnings: Contains gluten
Origin country: N/A

"|lunch|vegan
70|" Vegan Thai Pineapple Fried Rice
Calories per portion"|"71. Vegan Thai Pineapple Fried Rice
Calories per portion: 800
Total portions: 2
Allergic warnings: None
Origin country: Thailand

"|lunch|vegan
71|" Vegan Mushroom and Spinach Risotto
Calories per portion"|"72. Vegan Mushroom and Spinach Risotto
Calories per portion: 600
Total portions: 3
Allergic warnings: None
Origin country: Italy

"|lunch|vegan
72|" Vegan Mediterranean Falafel Plate
Calories per portion"|"73. Vegan Mediterranean Falafel Plate
Calories per portion: 550
Total portions: 2
Allergic warnings: None
Origin country: Middle East

"|lunch|vegan
73|" Vegan Lentil Sloppy Joes
Calories per portion"|"74. Vegan Lentil Sloppy Joes
Calories per portion: 450
Total portions: 2
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
74|" Vegan Thai Pumpkin Curry
Calories per portion"|"75. Vegan Thai Pumpkin Curry
Calories per portion: 650
Total portions: 3
Allergic warnings: None
Origin country: Thailand

"|lunch|vegan
75|" Vegan Mexican Rice and Bean Burrito
Calories per portion"|"76. Vegan Mexican Rice and Bean Burrito
Calories per portion: 700
Total portions: 2
Allergic warnings: None
Origin country: Mexico

"|lunch|vegan
76|" Vegan Eggplant Rollatini
Calories per portion"|"77. Vegan Eggplant Rollatini
Calories per portion: 850
Total portions: 3
Allergic warnings: None
Origin country: Italy

"|lunch|vegan
77|" Vegan Greek Stuffed Tomatoes
Calories per portion"|"78. Vegan Greek Stuffed Tomatoes
Calories per portion: 500
Total portions: 2
Allergic warnings: None
Origin country: Greece

"|lunch|vegan
78|" Vegan Lentil Sloppy Joes
Calories per portion"|"79. Vegan Lentil Sloppy Joes
Calories per portion: 450
Total portions: 2
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
79|" Vegan Mushroom and Lentil Shepherd's Pie
Calories per portion"|"80. Vegan Mushroom and Lentil Shepherd's Pie
Calories per portion: 900
Total portions: 4
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
80|" Vegan Thai Pineapple Curry
Calories per portion"|"81. Vegan Thai Pineapple Curry
Calories per portion: 450
Total portions: 2
Allergic warnings: None
Origin country: Thailand

"|lunch|vegan
81|" Vegan Mexican Rice Bowl with Smoky Black Beans
Calories per portion"|"82. Vegan Mexican Rice Bowl with Smoky Black Beans
Calories per portion: 700
Total portions: 2
Allergic warnings: None
Origin country: Mexico

"|lunch|vegan
82|" Vegan Ratatouille Tart
Calories per portion"|"83. Vegan Ratatouille Tart
Calories per portion: 800
Total portions: 4
Allergic warnings: Contains gluten
Origin country: France

"|lunch|vegan
83|" Vegan Soba Noodle Salad with Peanut Dressing
Calories per portion"|"84. Vegan Soba Noodle Salad with Peanut Dressing
Calories per portion: 600
Total portions: 3
Allergic warnings: Contains peanuts, gluten (soy sauce, noodles)
Origin country: Japan

"|lunch|vegan
84|" Vegan Sweet Potato and Chickpea Curry
Calories per portion"|"85. Vegan Sweet Potato and Chickpea Curry
Calories per portion: 650
Total portions: 3
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
85|" Vegan Cucumber Avocado Gazpacho
Calories per portion"|"86. Vegan Cucumber Avocado Gazpacho
Calories per portion: 400
Total portions: 2
Allergic warnings: None
Origin country: Spain

"|lunch|vegan
86|" Vegan Spinach Artichoke Dip
Calories per portion"|"87. Vegan Spinach Artichoke Dip
Calories per portion: 500
Total portions: 1
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
87|" Vegan Lentil and Vegetable Casserole
Calories per portion"|"88. Vegan Lentil and Vegetable Casserole
Calories per portion: 750
Total portions: 2
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
88|" Vegan Quinoa and Black Bean Stuffed Peppers
Calories per portion"|"89. Vegan Quinoa and Black Bean Stuffed Peppers
Calories per portion: 700
Total portions: 2
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
89|" Vegan Mushroom Ragu with Polenta
Calories per portion"|"90. Vegan Mushroom Ragu with Polenta
Calories per portion: 850
Total portions: 3
Allergic warnings: None
Origin country: Italy

"|lunch|vegan
90|" Vegan Mexican Quinoa Stuffed Peppers
Calories per portion"|"91. Vegan Mexican Quinoa Stuffed Peppers
Calories per portion: 500
Total portions: 2
Allergic warnings: None
Origin country: Mexico

"|lunch|vegan
91|" Vegan General Tso's Tofu
Calories per portion"|"92. Vegan General Tso's Tofu
Calories per portion: 450
Total portions: 2
Allergic warnings: None
Origin country: China

"|lunch|vegan
92|" Vegan Avocado and Chickpea Salad Sandwich
Calories per portion"|"93. Vegan Avocado and Chickpea Salad Sandwich
Calories per portion: 400
Total portions: 2
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
93|" Vegan Miso Soup with Tofu and Vegetables
Calories per portion"|"94. Vegan Miso Soup with Tofu and Vegetables
Calories per portion: 300
Total portions: 2
Allergic warnings: Contains soy
Origin country: Japan

"|lunch|vegan
94|" Vegan Southwestern Quinoa Salad
Calories per portion"|"95. Vegan Southwestern Quinoa Salad
Calories per portion: 400
Total portions: 3
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
95|" Vegan Mushroom and Lentil Bolognese
Calories per portion"|"96. Vegan Mushroom and Lentil Bolognese
Calories per portion: 550
Total portions: 4
Allergic warnings: None
Origin country: Italy

"|lunch|vegan
96|" Vegan Thai Coconut Soup (Tom Kha)
Calories per portion"|"97. Vegan Thai Coconut Soup (Tom Kha)
Calories per portion: 700
Total portions: 2
Allergic warnings: None
Origin country: Thailand

"|lunch|vegan
97|" Vegan Cauliflower Shawarma Wraps
Calories per portion"|"98. Vegan Cauliflower Shawarma Wraps
Calories per portion: 550
Total portions: 1
Allergic warnings: Contains gluten (wrap)
Origin country: Middle East

"|lunch|vegan
98|" Vegan Chickpea and Rice Salad
Calories per portion"|"99. Vegan Chickpea and Rice Salad
Calories per portion: 400
Total portions: 3
Allergic warnings: None
Origin country: N/A

"|lunch|vegan
99|" Vegan Spicy Peanut Noodles
Calories per portion"|"100. Vegan Spicy Peanut Noodles
Calories per portion: 600
Total portions: 2
Allergic warnings: Contains peanuts, gluten (soy sauce, noodles)
Origin country: N/A

Please note that the origin country specified is based on the traditional association of the dish with a particular region, and variations may exist. Always check the ingredients to ensure they align with your dietary and allergy requirements."|lunch|vegan
0| Chickpea Salad Sandwich|"1. Chickpea Salad Sandwich: 250 calories/portion, 4 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
1| Vegan Lentil Soup|"2. Vegan Lentil Soup: 200 calories/portion, 6 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
2| Quinoa and Black Bean Burrito Bowl|"3. Quinoa and Black Bean Burrito Bowl: 400 calories/portion, 2 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
3| Mediterranean Salad|"4. Mediterranean Salad: 300 calories/portion, 4 portions. Allergic warnings: None. Origin: Mediterranean region.
"|lunch|vegan
4| Veggie Stir-Fry|"5. Veggie Stir-Fry: 250 calories/portion, 4 portions. Allergic warnings: Soy may be used. Origin: N/A.
"|lunch|vegan
5| Ratatouille|"6. Ratatouille: 150 calories/portion, 6 portions. Allergic warnings: None. Origin: France.
"|lunch|vegan
6| Spicy Tofu Tacos|"7. Spicy Tofu Tacos: 400 calories/portion, 2 portions. Allergic warnings: Soy may be used. Origin: N/A.
"|lunch|vegan
7| Lentil Bolognese|"8. Lentil Bolognese: 300 calories/portion, 4 portions. Allergic warnings: None. Origin: Italy.
"|lunch|vegan
8| Vegan Caesar Salad|"9. Vegan Caesar Salad: 200 calories/portion, 4 portions. Allergic warnings: Contains cashews (tree nuts). Origin: N/A.
"|lunch|vegan
9| Vegetable Curry with Rice|"10. Vegetable Curry with Rice: 400 calories/portion, 2 portions. Allergic warnings: None. Origin: India.
"|lunch|vegan
10| Sweet Potato and Black Bean Chili|"11. Sweet Potato and Black Bean Chili: 300 calories/portion, 4 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
11| Vegan Sushi Rolls|"12. Vegan Sushi Rolls: 250 calories/portion, 4 portions. Allergic warnings: None. Origin: Japan.
"|lunch|vegan
12| Vegan Pad Thai|"13. Vegan Pad Thai: 400 calories/portion, 2 portions. Allergic warnings: Contains peanuts. Origin: Thailand.
"|lunch|vegan
13| Chickpea and Vegetable Stew|"14. Chickpea and Vegetable Stew: 350 calories/portion, 3 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
14| Greek Salad with Tofu|"15. Greek Salad with Tofu: 200 calories/portion, 4 portions. Allergic warnings: None. Origin: Greece.
"|lunch|vegan
15| Veggie Burger with Sweet Potato Fries|"16. Veggie Burger with Sweet Potato Fries: 500 calories/portion, 2 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
16| Vegan Pasta Primavera|"17. Vegan Pasta Primavera: 400 calories/portion, 2 portions. Allergic warnings: None. Origin: Italy.
"|lunch|vegan
17| Falafel Wrap|"18. Falafel Wrap: 350 calories/portion, 3 portions. Allergic warnings: None. Origin: Middle East.
"|lunch|vegan
18| Vegan Tofu Scramble|"19. Vegan Tofu Scramble: 250 calories/portion, 4 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
19| Tom Yum Soup|"20. Tom Yum Soup: 200 calories/portion, 4 portions. Allergic warnings: None. Origin: Thailand.
"|lunch|vegan
20| Black Bean and Vegetable Quesadillas|"21. Black Bean and Vegetable Quesadillas: 300 calories/portion, 4 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
21| Vegan Caprese Salad|"22. Vegan Caprese Salad: 250 calories/portion, 4 portions. Allergic warnings: None. Origin: Italy.
"|lunch|vegan
22| Vegan Spinach and Mushroom Frittata|"23. Vegan Spinach and Mushroom Frittata: 200 calories/portion, 4 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
23| Coconut Curry with Tofu|"24. Coconut Curry with Tofu: 400 calories/portion, 2 portions. Allergic warnings: None. Origin: Thailand.
"|lunch|vegan
24| Vegan BBQ Jackfruit Sandwich|"25. Vegan BBQ Jackfruit Sandwich: 350 calories/portion, 3 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
25| Greek Style Chickpea Sandwich|"26. Greek Style Chickpea Sandwich: 300 calories/portion, 4 portions. Allergic warnings: None. Origin: Greece.
"|lunch|vegan
26| Vegan Mushroom Risotto|"27. Vegan Mushroom Risotto: 250 calories/portion, 4 portions. Allergic warnings: None. Origin: Italy.
"|lunch|vegan
27| Lentil and Vegetable Pot Pie|"28. Lentil and Vegetable Pot Pie: 400 calories/portion, 2 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
28| Vegan Tacos with Avocado Salsa|"29. Vegan Tacos with Avocado Salsa: 350 calories/portion, 3 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
29| Vegan Stuffed Bell Peppers|"30. Vegan Stuffed Bell Peppers: 200 calories/portion, 4 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
30| Chinese Vegetable Stir-Fry|"31. Chinese Vegetable Stir-Fry: 300 calories/portion, 4 portions. Allergic warnings: None. Origin: China.
"|lunch|vegan
31| Vegan Eggplant Parmesan|"32. Vegan Eggplant Parmesan: 350 calories/portion, 3 portions. Allergic warnings: None. Origin: Italy.
"|lunch|vegan
32| Thai Red Curry with Vegetables|"33. Thai Red Curry with Vegetables: 400 calories/portion, 2 portions. Allergic warnings: None. Origin: Thailand.
"|lunch|vegan
33| Vegan Baked Ziti|"34. Vegan Baked Ziti: 300 calories/portion, 4 portions. Allergic warnings: None. Origin: Italy.
"|lunch|vegan
34| Cauliflower Buffalo Wings|"35. Cauliflower Buffalo Wings: 250 calories/portion, 4 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
35| Vegan Tofu Satay Skewers|"36. Vegan Tofu Satay Skewers: 350 calories/portion, 3 portions. Allergic warnings: None. Origin: Indonesia.
"|lunch|vegan
36| Vegan Shepherd's Pie|"37. Vegan Shepherd's Pie: 400 calories/portion, 2 portions. Allergic warnings: None. Origin: Ireland.
"|lunch|vegan
37| Vegan Sweet and Sour Tofu|"38. Vegan Sweet and Sour Tofu: 300 calories/portion, 4 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
38| Mexican Quinoa Salad|"39. Mexican Quinoa Salad: 250 calories/portion, 4 portions. Allergic warnings: None. Origin: Mexico.
"|lunch|vegan
39| Vegan Cajun Jambalaya|"40. Vegan Cajun Jambalaya: 350 calories/portion, 3 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
40| Vegan Zucchini Bread|"41. Vegan Zucchini Bread: 200 calories/portion, 4 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
41| Lebanese Tabbouleh Salad|"42. Lebanese Tabbouleh Salad: 300 calories/portion, 4 portions. Allergic warnings: None. Origin: Lebanon.
"|lunch|vegan
42| Vegan Mushroom Stroganoff|"43. Vegan Mushroom Stroganoff: 350 calories/portion, 3 portions. Allergic warnings: None. Origin: Russia.
"|lunch|vegan
43| Chickpea Curry|"44. Chickpea Curry: 400 calories/portion, 2 portions. Allergic warnings: None. Origin: India.
"|lunch|vegan
44|" Vegan Cauliflower ""Steak"""|"45. Vegan Cauliflower ""Steak"": 250 calories/portion, 4 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
45| Vegan Creamy Broccoli Soup|"46. Vegan Creamy Broccoli Soup: 200 calories/portion, 4 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
46| Vegan Singapore Noodles|"47. Vegan Singapore Noodles: 300 calories/portion, 4 portions. Allergic warnings: None. Origin: Singapore.
"|lunch|vegan
47| Vegan Mexican Rice|"48. Vegan Mexican Rice: 350 calories/portion, 3 portions. Allergic warnings: None. Origin: Mexico.
"|lunch|vegan
48| Vegan Lentil Loaf|"49. Vegan Lentil Loaf: 250 calories/portion, 4 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
49| Vegan Thai Pineapple Fried Rice|"50. Vegan Thai Pineapple Fried Rice: 400 calories/portion, 2 portions. Allergic warnings: None. Origin: Thailand.
"|lunch|vegan
50| Vegan Black Bean Soup|"51. Vegan Black Bean Soup: 300 calories/portion, 4 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
51| Vegan Roasted Vegetable Pasta|"52. Vegan Roasted Vegetable Pasta: 350 calories/portion, 3 portions. Allergic warnings: None. Origin: Italy.
"|lunch|vegan
52| Vegan Moroccan Couscous|"53. Vegan Moroccan Couscous: 250 calories/portion, 4 portions. Allergic warnings: None. Origin: Morocco.
"|lunch|vegan
53| Vegan Jackfruit Curry|"54. Vegan Jackfruit Curry: 400 calories/portion, 2 portions. Allergic warnings: None. Origin: India.
"|lunch|vegan
54| Vegan Spinach and Artichoke Dip|"55. Vegan Spinach and Artichoke Dip: 200 calories/portion, 4 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
55| Vegan Spanish Paella|"56. Vegan Spanish Paella: 300 calories/portion, 4 portions. Allergic warnings: None. Origin: Spain.
"|lunch|vegan
56| Vegan Asian Slaw|"57. Vegan Asian Slaw: 250 calories/portion, 4 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
57| Vegan Chickpea Tikka Masala|"58. Vegan Chickpea Tikka Masala: 400 calories/portion, 2 portions. Allergic warnings: None. Origin: India.
"|lunch|vegan
58| Vegan Sweet Potato Curry|"59. Vegan Sweet Potato Curry: 350 calories/portion, 3 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
59| Vegan Greek Moussaka|"60. Vegan Greek Moussaka: 300 calories/portion, 4 portions. Allergic warnings: None. Origin: Greece.
"|lunch|vegan
60| Vegan Mushroom and Spinach Lasagna|"61. Vegan Mushroom and Spinach Lasagna: 250 calories/portion, 4 portions. Allergic warnings: None. Origin: Italy.
"|lunch|vegan
61| Vegan Thai Green Curry|"62. Vegan Thai Green Curry: 400 calories/portion, 2 portions. Allergic warnings: None. Origin: Thailand.
"|lunch|vegan
62| Vegan Lentil Sloppy Joes|"63. Vegan Lentil Sloppy Joes: 350 calories/portion, 3 portions. Allergic warnings: None. Origin: N/A.
"|lunch|vegan
63| Vegan Mexican Street Corn|"64. Vegan Mexican Street Corn: 200 calories/portion, 4 portions. Allergic warnings: None. Origin: Mexico.
"|lunch|vegan
